iter	RMSE
328	3320.479951
329	3301.03355
330	3293.238926
331	3290.420157
332	3280.617336
333	3275.281671
334	3262.014802
335	3252.274842
336	3249.647118
337	3235.367212
338	3228.82033
339	3210.064308
340	3204.0285
341	3196.975785
342	3189.003256
343	3180.932601
344	3172.727791
345	3170.462348
346	3155.737128
347	3149.407583
348	3141.870429
349	3133.741007
350	3124.780198
351	3123.64347
352	3116.058802
353	3113.446188
354	3103.87253
355	3097.082926
356	3092.741885
357	3086.247174
358	3075.949388
359	3063.73733
360	3060.238127
361	3050.041436
362	3046.329981
363	3038.918773
364	3031.181092
365	3020.263322
366	3007.311837
367	2998.118199
368	2995.453834
369	2987.125394
370	2982.592551
371	2978.665925
372	2971.516993
373	2967.801806
374	2956.227878
375	2951.537903
376	2945.177296
377	2937.896709
378	2931.346008
379	2924.150733
380	2921.931182
381	2908.544811
382	2902.359958
383	2897.536546
384	2890.458102
385	2884.306219
386	2877.453841
387	2867.208816
388	2862.536719
389	2858.346531
390	2851.863463
391	2847.378682
392	2841.44565
393	2837.930938
394	2831.834858
395	2828.326785
396	2822.734896
397	2795.348764
398	2783.837615
399	2779.152549
400	2767.34981
401	2761.48031
402	2756.168879
403	2743.424476
404	2734.373446
405	2728.681986
406	2719.326197
407	2715.365782
408	2708.454574
409	2702.952662
410	2697.046621
411	2692.538663
412	2690.55203
413	2684.040205
414	2680.282712
415	2674.00437
416	2669.817733
417	2662.160315
418	2660.82248
419	2654.75905
420	2645.02254
421	2640.993306
422	2635.178533
423	2630.974003
424	2627.454379
425	2620.003081
426	2615.416151
427	2610.449721
428	2603.516617
429	2598.277275
430	2574.123438
431	2565.878533
432	2557.237956
433	2552.706011
434	2550.062364
435	2548.676801
436	2543.946028
437	2540.283676
438	2532.047183
439	2526.902209
440	2523.037267
441	2518.732208
442	2513.845852
443	2510.2784
444	2503.921667
445	2499.809968
446	2496.104467
447	2492.229297
448	2485.265903
449	2477.427317
450	2472.598077
451	2468.34663
452	2464.745476
453	2460.185056
454	2456.419657
455	2450.584131
456	2444.283637
457	2437.545564
458	2433.465698
459	2429.026682
460	2425.255015
461	2418.802094
462	2415.229329
463	2392.209418
464	2384.567447
465	2381.016986
466	2376.038928
467	2372.254377
468	2364.27953
469	2358.361828
470	2352.99248
471	2350.091022
472	2344.060513
473	2341.260247
474	2338.224696
475	2334.911372
476	2325.566633
477	2319.718156
478	2314.697924
479	2311.949559
480	2306.39694
481	2304.213039
482	2296.381668
483	2283.34071
484	2277.206322
485	2274.258368
486	2271.408378
487	2264.829434
488	2257.339624
489	2254.158471
490	2250.834996
491	2248.560678
492	2242.568402
493	2237.094367
494	2232.38364
495	2216.767935
496	2214.588243
497	2211.412887
498	2207.099814
499	2204.453307
500	2201.317526
501	2196.85025
502	2193.649667
503	2190.277913
504	2188.164245
505	2184.212026
506	2177.556703
507	2174.211738
508	2160.16437
509	2157.44209
510	2153.897062
511	2151.17046
512	2144.667147
513	2139.943964
514	2134.666056
515	2131.763336
516	2130.255908
517	2128.898457
518	2125.924845
519	2120.035626
520	2100.187955
521	2095.725066
522	2092.882385
523	2090.102344
524	2087.978887
525	2085.285739
526	2081.192602
527	2079.518343
528	2072.970334
529	2070.90447
530	2066.943255
531	2061.431355
532	2057.879986
533	2055.904232
534	2050.635266
535	2046.574177
536	2045.315214
537	2042.862905
538	2039.064294
539	2033.11263
540	2031.906333
541	2026.26841
542	2023.951182
543	2020.006139
544	2018.166196
545	2012.908135
546	2010.686839
547	2006.073771
548	2001.063189
549	1998.596598
550	1992.712908
551	1989.867656
552	1986.260072
553	1983.024618
554	1981.825025
555	1980.439964
556	1974.191841
557	1970.654786
558	1966.972941
559	1963.986841
560	1961.936377
561	1958.883972
562	1954.618283
563	1952.278936
564	1947.148969
565	1944.027656
566	1939.263342
567	1934.517648
568	1929.999474
569	1925.477563
570	1920.673887
571	1918.020545
572	1916.139506
573	1914.518052
574	1911.414993
575	1908.209852
576	1905.078586
577	1901.799888
578	1898.878182
579	1896.603244
580	1887.491901
581	1886.176547
582	1881.68243
583	1864.542968
584	1861.56414
585	1859.123741
586	1857.852832
587	1853.254144
588	1850.236151
589	1847.78858
590	1844.713047
591	1843.049728
592	1842.140305
593	1839.266106
594	1838.178591
595	1833.651233
596	1829.435566
597	1827.301316
598	1825.330954
599	1821.380211
600	1819.299572
601	1814.416457
602	1802.59454
603	1799.796342
604	1797.202128
605	1787.748248
606	1785.041654
607	1779.244311
608	1776.817934
609	1773.974676
610	1771.982091
611	1770.223542
612	1766.222824
613	1763.186667
614	1760.839219
615	1758.443474
616	1752.469598
617	1750.964265
618	1747.702619
619	1741.640843
620	1737.182022
621	1734.56047
622	1732.663008
623	1729.239148
624	1726.166619
625	1723.324108
626	1720.711185
627	1718.391943
628	1714.338315
629	1710.854306
630	1708.238911
631	1706.425139
632	1692.326781
633	1690.120357
634	1688.190732
635	1683.763735
636	1678.550839
637	1675.990093
638	1667.468286
639	1665.058672
640	1664.057939
641	1660.742674
642	1658.03888
643	1656.656605
644	1654.09242
645	1652.356133
646	1647.413125
647	1645.587116
648	1643.014626
649	1636.276088
650	1634.277492
651	1632.201326
652	1628.295451
653	1625.612101
654	1613.277866
655	1609.812734
656	1605.479494
657	1603.8275
658	1600.181389
659	1598.830028
660	1597.518692
661	1590.132085
662	1587.332809
663	1585.696994
664	1583.886669
665	1580.847752
666	1578.246017
667	1576.241003
668	1573.142726
669	1571.874071
670	1569.608474
671	1568.321573
672	1565.900747
673	1564.136597
674	1560.799037
675	1558.465443
676	1555.93797
677	1551.877941
678	1549.678983
679	1547.742717
680	1546.007866
681	1544.182178
682	1539.954036
683	1537.67055
684	1535.644572
685	1534.509012
686	1533.637282
687	1532.191579
688	1530.113975
689	1527.130102
690	1522.728821
691	1521.541637
692	1518.982778
693	1517.210197
694	1512.395259
695	1509.934918
696	1507.641862
697	1504.293032
698	1502.882603
699	1501.613552
700	1496.990268
701	1495.880573
702	1493.568546
703	1490.035634
704	1487.296647
705	1485.754509
706	1483.464288
707	1478.055338
708	1474.1276
709	1470.707421
710	1466.1526
711	1463.853045
712	1460.48213
713	1455.944929
714	1453.677504
715	1452.10109
716	1450.805032
717	1448.644847
718	1446.202374
719	1444.894373
720	1442.965286
721	1440.788833
722	1438.689254
723	1437.009885
724	1435.468503
725	1431.133376
726	1429.493474
727	1426.845508
728	1423.591331
729	1420.272363
730	1418.674737
731	1417.177264
732	1415.273405
733	1414.266147
734	1403.573088
735	1402.342204
736	1401.381655
737	1400.415184
738	1397.095984
739	1393.080426
740	1382.776943
741	1380.801001
742	1378.91554
743	1377.283975
744	1376.205896
745	1375.191039
746	1374.259196
747	1370.393373
748	1366.444221
749	1365.369386
750	1362.951583
751	1361.794859
752	1359.912217
753	1357.844017
754	1356.547595
755	1354.595685
756	1352.809103
757	1351.48445
758	1349.082955
759	1347.44401
760	1344.433623
761	1341.302687
762	1340.835145
763	1338.565129
764	1334.101667
765	1332.606106
766	1330.217172
767	1329.368455
768	1328.053442
769	1326.617984
770	1324.757739
771	1321.55936
772	1320.743019
773	1316.765074
774	1313.030916
775	1310.357624
776	1307.952792
777	1306.519092
778	1304.566985
779	1303.12687
780	1302.329897
781	1299.572609
782	1298.203485
783	1296.509256
784	1293.672406
785	1292.617329
786	1291.044003
787	1289.898438
788	1287.88283
789	1286.88387
790	1285.340642
791	1284.371223
792	1282.46553
793	1278.942232
794	1277.104051
795	1276.179239
796	1274.43003
797	1273.118674
798	1269.834552
799	1268.384199
800	1265.147371
801	1262.008637
802	1259.484366
803	1258.551186
804	1256.263045
805	1253.956317
806	1250.419976
807	1249.282232
808	1246.901341
809	1246.155278
810	1244.695645
811	1243.2314
812	1237.4135
813	1236.293421
814	1234.573843
815	1233.428037
816	1230.919454
817	1227.737142
818	1224.78165
819	1223.628633
820	1222.6163
821	1221.066933
822	1219.364137
823	1217.767929
824	1216.591208
825	1212.923953
826	1211.872682
827	1210.21576
828	1209.156627
829	1203.727741
830	1202.546495
831	1199.851447
832	1198.356307
833	1194.89024
834	1194.023251
835	1192.065072
836	1188.875632
837	1187.89182
838	1185.39166
839	1184.179749
840	1183.237741
841	1180.690453
842	1177.279866
843	1176.059974
844	1174.761621
845	1173.376481
846	1168.467032
847	1166.058849
848	1164.770592
849	1162.88011
850	1161.966044
851	1160.896504
852	1158.963699
853	1156.83107
854	1156.028745
855	1154.194255
856	1153.316355
857	1151.921515
858	1148.559823
859	1147.648339
860	1146.375658
861	1145.602515
862	1144.352603
863	1143.275152
864	1141.959405
865	1141.179075
866	1139.517398
867	1137.15424
868	1136.28665
869	1134.423667
870	1133.322964
871	1131.1804
872	1129.360092
873	1128.563151
874	1127.372859
875	1126.306841
876	1124.690047
877	1118.725983
878	1116.191495
879	1115.295026
880	1112.251658
881	1109.417683
882	1108.566542
883	1107.990033
884	1106.797628
885	1105.97168
886	1103.574377
887	1100.871338
888	1098.230923
889	1097.672343
890	1095.727643
891	1094.026898
892	1092.807644
893	1090.940048
894	1089.889452
895	1088.971966
896	1086.624025
897	1085.772177
898	1083.324856
899	1081.179431
900	1080.656359
901	1078.813811
902	1077.160935
903	1076.164939
904	1073.817096
905	1071.970328
906	1069.648698
907	1068.366528
908	1066.559945
909	1064.484996
910	1063.84194
911	1062.133459
912	1060.474699
913	1058.448411
914	1056.846901
915	1055.936924
916	1054.155332
917	1053.150406
918	1052.087688
919	1049.557476
920	1048.573149
921	1047.068177
922	1045.210761
923	1043.703143
924	1042.153778
925	1041.351367
926	1039.627157
927	1038.949197
928	1038.169032
929	1036.861734
930	1035.302698
931	1033.568111
932	1031.705869
933	1027.670465
934	1026.636665
935	1025.662443
936	1024.10452
937	1022.46326
938	1021.613633
939	1021.130426
940	1019.839983
941	1018.826123
942	1017.883574
943	1016.518429
944	1013.59901
945	1012.420037
946	1010.633474
947	1009.686511
948	1007.688071
949	1006.535068
950	1005.727013
951	1004.669314
952	1003.091926
953	1002.447221
954	999.7627363
955	998.3395398
956	994.8235089
957	991.7955823
958	990.8452754
959	989.9655619
960	988.410437
961	987.5500035
962	985.5309427
963	984.7869392
964	983.1526193
965	981.2676746
966	978.784193
967	977.5684962
968	976.5587186
969	975.0886132
970	974.3576978
971	972.9836322
972	972.1665893
973	970.1953703
974	969.0252126
975	968.0248732
976	967.2365426
977	965.6716559
978	964.8270277
979	963.7315061
980	962.6216361
981	961.5434156
982	960.5453177
983	958.8434233
984	958.1490178
985	954.4698962
986	953.8184382
987	953.0724826
988	951.78865
989	949.5706144
990	948.5609997
991	947.5307838
992	946.0866728
993	944.8553217
994	943.4496558
995	942.7266931
996	939.6251589
997	938.5067013
998	937.4564299
999	936.1437901
